tool,specie,mrd,depth,batch,precision,recall,f1score
Confindr,ecoli,0.04,220,6,0.6075318401405357,0.7398373983739838,0.6578420369270043
Confindr,ecoli,0.04,220,7,0.6103773685958204,0.7479674796747968,0.6633624625016304
Confindr,ecoli,0.04,220,8,0.6399174434691887,0.8211382113821138,0.7117112816792046
Confindr,ecoli,0.04,220,9,0.6547926447574334,0.8780487804878049,0.7447730172449273
Confindr,ecoli,0.04,220,10,0.6584994978690485,0.910569105691057,0.7599136730715678
Confindr,ecoli,0.05,120,1,0.020202020202020204,0.016260162601626018,0.018018018018018018
Confindr,ecoli,0.05,120,2,0.10077519379844961,0.10569105691056911,0.10317460317460318
Confindr,ecoli,0.05,120,3,0.22087269455690509,0.25203252032520324,0.2219702695893172
Confindr,ecoli,0.05,120,4,0.40603044496487123,0.37398373983739835,0.3569137898509715
Confindr,ecoli,0.05,120,5,0.5292622785829307,0.5040650406504065,0.487984360410831
Confindr,ecoli,0.05,120,6,0.5826243648824294,0.5528455284552846,0.5436137169786358
Confindr,ecoli,0.05,120,7,0.6413662239089185,0.6504065040650406,0.6298525710176196
Confindr,ecoli,0.05,120,8,0.6643443702267232,0.7154471544715447,0.6766239316239316
Confindr,ecoli,0.05,120,9,0.6882795325697096,0.7804878048780489,0.7182771744175254
Confindr,ecoli,0.05,120,10,0.703474555318004,0.8292682926829268,0.7533181396503993
Confindr,ecoli,0.05,170,1,0.027777777777777776,0.016260162601626018,0.020512820512820513
Confindr,ecoli,0.05,170,2,0.10784313725490197,0.08943089430894309,0.0977777777777778
Confindr,ecoli,0.05,170,3,0.23214285714285712,0.23577235772357727,0.22101284958427822
Confindr,ecoli,0.05,170,4,0.5111111111111111,0.3983739837398374,0.4059633620132807
Confindr,ecoli,0.05,170,5,0.5590395480225988,0.47154471544715443,0.47617486338797815
Confindr,ecoli,0.05,170,6,0.6583514887436456,0.6341463414634146,0.6269695204814599
Confindr,ecoli,0.05,170,7,0.6739255221539727,0.6991869918699187,0.6723856209150326
Confindr,ecoli,0.05,170,8,0.7229258398060653,0.7642276422764228,0.7338194957707153
Confindr,ecoli,0.05,170,9,0.7371450397766187,0.7642276422764228,0.7420991706705992
Confindr,ecoli,0.05,170,10,0.7495563222307409,0.8292682926829268,0.7828669612174767
Confindr,ecoli,0.05,220,1,0.02666666666666667,0.016260162601626018,0.020202020202020204
Confindr,ecoli,0.05,220,2,0.14166666666666666,0.13821138211382114,0.13991769547325103
Confindr,ecoli,0.05,220,3,0.27941176470588236,0.26829268292682923,0.2551271534044299
Confindr,ecoli,0.05,220,4,0.47928849902534115,0.4065040650406504,0.4087230861824607
